state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.827719,32.773329,Alabama
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.3,64.9,Alaska
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.658929,34.294776,Arizona
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92.44427,34.921992,Arkansas
CA,0,0,1000,2700,0,350,9575,9100,5225,2500,0,0,0,30450,-121,37.255299,California
CO,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-105.546087,38.999137,Colorado
CT,0,0,1000,3450,1000,2500,6400,250,0,0,0,0,0,14600,-72.737122,41.606924,Connecticut
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.499779,38.993921,Delaware
DC,0,0,500,3700,0,0,0,0,0,0,0,0,0,4200,-77.018293,38.896097,District of Columbia
FL,0,0,2950,1100,13750,1000,1500,0,0,1000,0,0,0,21300,-81.5,28.615732,Florida
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.4,19.6,Hawaii
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-114,44,Idaho
IL,0,0,2950,0,0,0,0,0,0,1250,0,0,0,4200,-89.202674,40.061203,Illinois
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,39.902306,Indiana
IA,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,-93.506079,42.083992,Iowa
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98.380047,38.482145,Kansas
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84.7,37.513983,Kentucky
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.217654,45.336854,Maine
MD,0,0,1000,1000,0,0,1000,0,0,1000,0,0,0,4000,-76.768453,39.032646,Maryland
MA,0,0,5400,0,0,0,0,250,0,0,0,0,0,5650,-71.733952,42.237892,Massachusetts
MI,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-84.5,43,Michigan
MN,0,0,0,0,0,0,0,0,5000,0,0,0,0,5000,-94.296494,46,Minnesota
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.661244,32.767379,Mississippi
MO,0,0,0,250,0,1000,0,0,0,0,0,0,0,1250,-92.480117,38.379759,Missouri
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.657143,47.048656,Montana
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.813973,41.523428,Nebraska
NV,0,0,0,1000,0,0,0,0,0,3000,0,0,0,4000,-116.649615,39.347228,Nevada
NH,0,0,500,0,0,1000,0,3950,0,0,0,0,0,5450,-71.563059,43.69196,New Hampshire
NJ,0,0,8200,35100,0,0,3700,8100,0,0,0,0,0,55100,-74.669503,40.205609,New Jersey
NM,0,0,0,500,0,0,0,0,250,0,0,0,0,750,-106.087356,34.416615,New Mexico
NY,0,0,16350,146166.46,16529.36,33600,41300,28450,3000,1200,0,0,0,286595.82,-75.502933,42.927867,New York
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79.251255,35.536226,North Carolina
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.483902,47.461886,North Dakota
OH,0,0,0,1250,0,0,0,0,0,0,0,0,0,1250,-82.5,40,Ohio
OK,0,0,250,0,0,0,0,0,0,0,0,0,0,250,-97.502839,35.58171,Oklahoma
OR,0,0,0,0,0,0,5400,0,0,0,0,0,0,5400,-120.537708,43.944367,Oregon
PA,0,0,0,0,0,375,0,0,0,250,0,0,0,625,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,250,0,0,0,0,0,0,0,0,250,-71.531002,41.682406,Rhode Island
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.883023,33.900651,South Carolina
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.22772,44.44542,South Dakota
TN,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,-86.322209,35.838538,Tennessee
TX,0,0,750,1000,0,2000,0,0,2250,0,0,0,0,6000,-98.5,31.3,Texas
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.669552,39.329209,Utah
VT,0,0,0,0,0,0,0,0,0,250,0,0,0,250,-72.662015,44.07374,Vermont
VA,0,0,250,520.16,750,500,8150,0,400,0,0,0,0,10570.16,-78.810097,37.507621,Virginia
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.610605,38.644907,West Virginia
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.7,44.5,Wisconsin
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107.553549,43.027008,Wyoming
